pop_tot_unw,casual_w_P_unw,casual_w_P_m_unw,casual_w_P_f_unw,casual_w_PS_unw,casual_w_PS_m_unw,casual_w_PS_f_unw,worker_P_unw,worker_P_m_unw,worker_P_f_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,labor_force_P_unw,labor_force_P_m_unw,labor_force_P_f_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,casual_w_W_unw,casual_w_W_m_unw,casual_w_W_f_unw,casual_w_WD_unw,casual_w_WD_m_unw,casual_w_WD_f_unw,worker_W_unw,worker_W_m_unw,worker_W_f_unw,labor_force_W_unw,labor_force_W_m_unw,labor_force_W_f_unw,worker_WD_unw,worker_WD_m_unw,worker_WD_f_unw,labor_force_WD_unw,labor_force_WD_m_unw,labor_force_WD_f_unw,pop_unw,pop_m_unw,pop_f_unw,s_casual_w_worker_PS_unw,s_casual_w_worker_P_unw,s_casual_w_worker_WD_unw,s_casual_w_worker_W_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_WD_unw,s_casual_w_lf_W_unw,s_casual_w_pop_PS_unw,s_casual_w_pop_P_unw,s_casual_w_pop_WD_unw,s_casual_w_pop_W_unw,s_casual_w_worker_PS_m_unw,s_casual_w_worker_P_m_unw,s_casual_w_worker_WD_m_unw,s_casual_w_worker_W_m_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_WD_m_unw,s_casual_w_lf_W_m_unw,s_casual_w_pop_PS_m_unw,s_casual_w_pop_P_m_unw,s_casual_w_pop_WD_m_unw,s_casual_w_pop_W_m_unw,s_casual_w_worker_PS_f_unw,s_casual_w_worker_P_f_unw,s_casual_w_worker_WD_f_unw,s_casual_w_worker_W_f_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_WD_f_unw,s_casual_w_lf_W_f_unw,s_casual_w_pop_PS_f_unw,s_casual_w_pop_P_f_unw,s_casual_w_pop_WD_f_unw,s_casual_w_pop_W_f_unw,data,time,state_name,state_code_PLFS
14971,2687,2487,199,3850,2891,958,4386,3937,448,5331,4136,1194,4825,4191,633,5714,4339,1374,3185,2466,718,3308,2575,732,4897,3930,966,5478,4234,1243,4897,3930,966,5478,4234,1243,11109,5758,5350,.72219098,.61263108,.67551559,.65039819,.67378366,.5568912,.60387003,.58141655,.34656584,.24187596,.29777658,.28670448,.6989845,.63169926,.65521628,.62748092,.66628253,.59341449,.60817194,.58242798,.50208408,.4319208,.4472039,.42827371,.80234504,.44419643,.75776398,.74327123,.69723433,.314376,.58889782,.57763475,.17906542,.03719626,.13682243,.13420561,PLFS_1718,July 2017 - June 2018,JAMMU & KASHMIR,1
549,83,68,15,133,77,56,166,129,37,211,134,77,189,135,54,230,138,92,119,70,49,124,75,49,205,133,72,226,140,86,205,133,72,226,140,86,402,188,214,.63033175,.5,.60487807,.58048779,.5782609,.43915343,.54867256,.52654868,.33084577,.20646766,.3084577,.29601991,.57462686,.5271318,.56390977,.52631581,.557971,.50370371,.53571427,.5,.40957448,.36170211,.39893618,.37234041,.72727275,.4054054,.68055558,.68055558,.60869563,.27777779,.56976742,.56976742,.26168224,.07009346,.22897196,.22897196,PLFS_1718,July 2017 - June 2018,LADAKH,37
7648,2504,1350,1154,2732,1462,1270,3237,1944,1292,3365,1978,1386,3438,2072,1365,3531,2087,1443,2302,1275,1027,2331,1292,1039,3046,1876,1169,3317,2072,1244,3046,1876,1169,3317,2072,1244,5421,2631,2789,.81188709,.77355576,.76526594,.75574523,.77371848,.72833043,.70274347,.6940006,.50396603,.46190739,.42999446,.42464489,.73913044,.69444442,.68869936,.67963755,.70052707,.65154439,.62355214,.6153475,.55568224,.5131129,.49106804,.48460662,.9163059,.89318883,.88879383,.87852865,.88011086,.84542125,.83520901,.82556272,.45536035,.41376838,.37253496,.36823234,PLFS_1718,July 2017 - June 2018,HIMACHAL PRADESH,2
13374,2575,2273,301,2637,2284,352,4342,3686,654,4400,3690,708,4741,3986,753,4798,3989,807,2499,2179,319,2540,2213,326,4295,3613,680,4769,3968,799,4295,3613,680,4769,3968,799,9977,5166,4809,.59931821,.5930447,.5913853,.58183932,.549604,.54313433,.53260642,.52400923,.26430792,.25809363,.25458553,.25047609,.61897022,.61665761,.61251038,.60309994,.57257456,.57024586,.55771172,.54914314,.44212157,.43999225,.42837787,.42179635,.49717513,.46024466,.47941175,.46911764,.43618339,.39973441,.40801001,.39924905,.073196091,.062590972,.067789562,.066333957,PLFS_1718,July 2017 - June 2018,PUNJAB,3
1389,154,130,24,163,135,28,479,376,103,484,377,107,534,408,126,539,409,130,143,121,22,152,130,22,477,375,102,536,410,126,477,375,102,536,410,126,1010,520,490,.33677685,.32150313,.31865829,.29979035,.30241188,.2883895,.28358209,.26679105,.16138613,.15247525,.15049505,.14158416,.35809019,.34574467,.34666666,.32266667,.33007336,.31862745,.31707317,.29512194,.25961539,.25,.25,.2326923,.26168224,.23300971,.21568628,.21568628,.21538462,.19047619,.17460318,.17460318,.057142857,.048979592,.044897959,.044897959,PLFS_1718,July 2017 - June 2018,CHANDIGARH,4
7003,1382,1135,247,1399,1143,256,2092,1719,373,2099,1723,376,2297,1860,437,2304,1864,440,1338,1105,233,1364,1120,244,2064,1700,364,2298,1865,433,2064,1700,364,2298,1865,433,5184,2654,2528,.66650784,.66061187,.66085273,.64825583,.60720485,.60165435,.59355962,.58224541,.26986882,.26658949,.26311728,.25810185,.66337782,.66026759,.65882355,.64999998,.61319745,.61021507,.60053617,.5924933,.43067068,.42765638,.42200452,.41635269,.68085104,.66219836,.67032969,.6401099,.58181816,.56521738,.56351042,.53810626,.10126583,.0977057,.096518986,.09216772,PLFS_1718,July 2017 - June 2018,UTTARANCHAL,5
12004,2207,1859,348,2229,1876,353,3633,3102,531,3641,3105,536,3939,3367,572,3946,3369,577,2052,1731,321,2087,1764,323,3495,2993,502,3902,3344,558,3495,2993,502,3902,3344,558,8550,4521,4028,.61219448,.6074869,.59713876,.58712447,.56487584,.56029451,.53485394,.52588415,.26070175,.25812864,.24409357,.23999999,.60418677,.59929079,.5893752,.57834947,.55684179,.55212355,.52751195,.51764351,.41495246,.41119221,.39017916,.38287988,.65858209,.65536726,.6434263,.63944221,.61178511,.60839158,.57885307,.57526881,.087636545,.086395234,.080188677,.079692155,PLFS_1718,July 2017 - June 2018,HARYANA,6
3956,429,396,33,435,398,37,1278,1121,155,1283,1123,158,1423,1248,173,1428,1250,176,422,388,34,427,390,37,1265,1107,156,1428,1251,175,1265,1107,156,1428,1251,175,3074,1673,1398,.3390491,.33568075,.33754942,.33359683,.30462185,.30147576,.2990196,.29551822,.14150943,.13955759,.13890696,.13728042,.35440785,.35325602,.35230353,.35049683,.3184,.31730768,.31175059,.31015188,.237896,.23670053,.23311417,.23191871,.23417722,.21290323,.23717949,.21794872,.21022727,.19075145,.21142857,.19428572,.026466381,.023605151,.026466381,.024320457,PLFS_1718,July 2017 - June 2018,DELHI,7
20771,4527,3465,1062,4981,3605,1374,6392,5078,1313,6767,5153,1611,6842,5478,1363,7189,5525,1661,4284,3268,1015,4353,3324,1028,6182,4911,1269,6813,5478,1333,6182,4911,1269,6813,5478,1333,14730,7643,7084,.73607212,.70822906,.70414108,.69297963,.69286412,.66164863,.63892561,.62879789,.33815342,.30733198,.29551935,.29083502,.69959247,.68235528,.67684788,.66544491,.65248871,.63253009,.60679078,.59656811,.47167343,.453356,.43490776,.4275808,.85288638,.80883473,.81008667,.79984242,.82721251,.7791636,.77119279,.76144034,.19395822,.14991531,.14511575,.14328063,PLFS_1718,July 2017 - June 2018,RAJASTHAN,8
44933,9539,8530,1007,10222,8717,1502,12103,10711,1390,12726,10836,1887,13049,11581,1466,13650,11684,1963,9188,7998,1189,9362,8161,1200,11949,10359,1588,13272,11578,1692,11949,10359,1588,13272,11578,1692,31233,15815,15412,.80323744,.78815168,.7834965,.76893467,.74886447,.73101389,.7053948,.69228452,.32728204,.30541414,.29974705,.29417604,.80444813,.79637754,.78781736,.77208227,.74606299,.73655123,.7048713,.69079286,.55118561,.53936136,.51602906,.5057224,.79597247,.72446042,.75566751,.74874055,.76515538,.68690312,.70921987,.70271868,.09745653,.065338694,.077861406,.077147678,PLFS_1718,July 2017 - June 2018,UTTAR PRADESH,9
