pop_tot_unw,pop_workingage_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,worker_PS_rur_unw,worker_PS_urb_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,labor_force_PS_rur_unw,labor_force_PS_urb_unw,pop_m_unw,pop_f_unw,pop_rur_unw,pop_urb_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,data,time,state_name,lf_share_unw,worker_share_unw,lf_share_m_unw,worker_share_m_unw,lf_share_f_unw,worker_share_f_unw,lf_share_urb_unw,worker_share_urb_unw,lf_share_rur_unw,worker_share_rur_unw
14971,11109,5331,4136,1194,3324,2007,5714,4339,1374,3479,2235,5758,5350,6416,4693,.67378366,.5568912,.66628253,.59341449,.69723433,.314376,.81115264,.65688485,.45995525,.43424088,PLFS_1718,July 2017 - June 2018,JAMMU & KASHMIR,.51435775,.47988117,.75356025,.71830499,.25682244,.22317757,.4762412,.4276582,.54223818,.51807982
549,402,211,134,77,116,95,230,138,92,125,105,188,214,222,180,.5782609,.43915343,.557971,.50370371,.60869563,.27777779,.62400001,.46391752,.52380955,.41304347,PLFS_1718,July 2017 - June 2018,LADAKH,.57213932,.52487564,.73404253,.71276593,.42990655,.35981309,.58333331,.52777779,.56306309,.52252251
7648,5421,3365,1978,1386,2894,471,3531,2087,1443,3029,502,2631,2789,4480,941,.77371848,.72833043,.70052707,.65154439,.88011086,.84542125,.82568502,.7769466,.46015936,.44064388,PLFS_1718,July 2017 - June 2018,HIMACHAL PRADESH,.65135586,.62073416,.79323453,.75180542,.51738977,.49695233,.53347504,.50053138,.67611605,.64598215
13374,9977,4400,3690,708,2040,2360,4798,3989,807,2224,2574,5166,4809,4845,5132,.549604,.54313433,.57257456,.57024586,.43618339,.39973441,.68525177,.67883211,.43240094,.42644173,PLFS_1718,July 2017 - June 2018,PUNJAB,.48090607,.44101432,.77216417,.71428573,.16781035,.14722395,.50155884,.4598597,.45902991,.42105263
1389,1010,484,377,107,76,408,539,409,130,82,457,520,490,149,861,.30241188,.2883895,.33007336,.31862745,.21538462,.19047619,.2682927,.24050634,.30853391,.29670331,PLFS_1718,July 2017 - June 2018,CHANDIGARH,.53366339,.47920793,.78653848,.72500002,.26530612,.21836735,.53077817,.4738676,.55033559,.51006711
7003,5184,2099,1723,376,1206,893,2304,1864,440,1305,999,2654,2528,2850,2334,.60720485,.60165435,.61319745,.61021507,.58181816,.56521738,.7295019,.72064465,.44744745,.44567403,PLFS_1718,July 2017 - June 2018,UTTARANCHAL,.44444445,.40489969,.70233607,.64920872,.17405063,.14873418,.42802057,.38260496,.45789474,.4231579
12004,8550,3641,3105,536,1946,1695,3946,3369,577,2118,1828,4521,4028,4572,3978,.56487584,.56029451,.55684179,.55212355,.61178511,.60839158,.68508029,.67911154,.42560175,.42238069,PLFS_1718,July 2017 - June 2018,HARYANA,.46152046,.42584795,.74518913,.68679494,.14324728,.13306852,.4595274,.42609352,.4632546,.42563429
3956,3074,1283,1123,158,82,1201,1428,1250,176,90,1338,1673,1398,195,2879,.30462185,.30147576,.3184,.31730768,.21022727,.19075145,.36666667,.36666667,.30044842,.29707426,PLFS_1718,July 2017 - June 2018,DELHI,.46454132,.41737151,.74716079,.67124927,.12589413,.11301859,.46474472,.41715872,.46153846,.42051283
20771,14730,6767,5153,1611,4339,2428,7189,5525,1661,4541,2648,7643,7084,8800,5930,.69286412,.66164863,.65248871,.63253009,.82721251,.7791636,.82184541,.78483701,.47167674,.46165645,PLFS_1718,July 2017 - June 2018,RAJASTHAN,.48805159,.45940259,.7228837,.67421168,.23447205,.22741389,.44654301,.4094435,.51602274,.49306819
44933,31233,12726,10836,1887,8299,4427,13650,11684,1963,8766,4884,15815,15412,20068,11165,.74886447,.73101389,.74606299,.73655123,.76515538,.68690312,.85979921,.84209245,.54975432,.54193413,PLFS_1718,July 2017 - June 2018,UTTAR PRADESH,.43703774,.40745366,.7387923,.68517232,.12736829,.12243706,.43743843,.39650694,.43681481,.41354394
22080,15254,5124,4840,284,3608,1516,5578,5277,301,3901,1677,8067,7187,10737,4517,.74291861,.74199927,.75630093,.75555134,.50830567,.49829352,.80133301,.80035973,.60703635,.60598803,PLFS_1718,July 2017 - June 2018,BIHAR,.36567459,.3359119,.65414655,.59997523,.041881174,.039515793,.3712641,.335621,.36332309,.33603427
2627,2092,1238,818,420,788,450,1293,845,448,809,484,1096,996,1270,822,.5955143,.59087396,.60591716,.60118341,.57589287,.5714286,.6946848,.68726826,.42975205,.42975205,PLFS_1718,July 2017 - June 2018,SIKKIM,.61806881,.59177822,.77098542,.74635035,.44979921,.42168674,.58880776,.54744524,.63700789,.62047243
7320,5576,2168,1864,304,1453,715,2353,1992,361,1555,798,3027,2549,3595,1981,.59626007,.59328514,.60692769,.60592371,.53739613,.52354568,.71318328,.70868164,.36842105,.36842105,PLFS_1718,July 2017 - June 2018,ARUNACHAL PRADESH,.42198709,.38880917,.6580773,.6157912,.14162417,.11926246,.40282685,.36092883,.43254521,.40417245
4576,3515,1165,949,216,668,497,1506,1170,336,872,634,1804,1711,1977,1538,.3565737,.35548171,.37777779,.37692308,.28273809,.280597,.43004587,.43004587,.25552049,.25276461,PLFS_1718,July 2017 - June 2018,NAGALAND,.42844951,.33143669,.64855874,.52605319,.19637638,.12624197,.41222367,.32314694,.44107234,.33788568
11193,8092,3490,2642,847,1872,1618,3910,2937,972,2072,1838,4068,4022,4230,3862,.65319693,.64787644,.66632617,.66280651,.61316872,.60126585,.72828186,.72316658,.56855279,.56297916,PLFS_1718,July 2017 - June 2018,MANIPUR,.48319328,.43129015,.7219764,.64945918,.24167082,.21059175,.47591922,.4189539,.48983452,.44255319
6616,4963,2213,1561,652,807,1406,2549,1762,786,897,1652,2433,2528,1675,3288,.54021186,.53942722,.57207721,.5709421,.46946564,.46946564,.76254183,.76254183,.41949153,.41828087,PLFS_1718,July 2017 - June 2018,MIZORAM,.51360065,.44589967,.72420877,.64159477,.31091774,.25791138,.50243306,.42761558,.5355224,.48179105
7150,5735,2348,2033,315,1589,759,2561,2176,385,1724,837,2953,2782,3842,1893,.60288948,.59749901,.63097429,.62454045,.44415584,.44386423,.69141531,.68543237,.42054957,.41626793,PLFS_1718,July 2017 - June 2018,TRIPURA,.44655624,.40941587,.73687774,.68845242,.13838965,.1132279,.4421553,.40095088,.44872463,.41358668
5980,4185,2308,1364,944,1672,636,2372,1391,981,1692,680,2012,2173,2784,1401,.70362562,.69237399,.71818835,.71746945,.68297654,.65483868,.81560284,.8051157,.42500001,.4197349,PLFS_1718,July 2017 - June 2018,MEGHALAYA,.56678617,.55149341,.69135189,.67793238,.4514496,.43442246,.4853676,.45396146,.60775864,.60057473
14806,11393,4729,4157,572,3581,1148,5224,4544,680,3971,1253,5889,5503,8675,2718,.63169986,.62617362,.68045777,.67481285,.30588236,.29985228,.68068498,.67464715,.47645649,.47242206,PLFS_1718,July 2017 - June 2018,ASSAM,.45852718,.41507944,.77160805,.70589232,.12356896,.1039433,.46100074,.42236939,.45775217,.41279539
25099,19723,9079,7293,1785,5003,4076,9692,7807,1884,5242,4450,10024,9697,10674,9049,.6551795,.6308617,.6622262,.64865911,.62632698,.54289371,.79816866,.7768513,.48674157,.45913124,PLFS_1718,July 2017 - June 2018,WEST BENGAL,.49140596,.46032551,.77883083,.72755384,.1942869,.18407755,.49176705,.4504365,.49109986,.46870902
12575,8869,3527,2920,606,2276,1251,3873,3220,652,2454,1419,4488,4379,5429,3440,.70875293,.68743342,.70900619,.69358373,.70705521,.65178573,.82722086,.8044312,.50387597,.4925479,PLFS_1718,July 2017 - June 2018,JHARKHAND,.43668959,.3976773,.7174688,.65062386,.14889245,.13838775,.41249999,.36366278,.45201695,.41923007
15886,12111,5208,4235,973,3924,1284,5700,4620,1080,4265,1435,6031,6080,8992,3119,.72368419,.7053377,.72359306,.71360487,.72407407,.66255605,.80890971,.79084492,.47038329,.45467523,PLFS_1718,July 2017 - June 2018,ORISSA,.47064653,.4300223,.76604211,.7022053,.17763157,.1600329,.46008337,.41167042,.47431049,.4363879
10253,7681,4402,2842,1559,3116,1286,4615,2981,1633,3208,1407,3929,3751,4997,2684,.77031422,.73678339,.72861457,.69380111,.84629518,.81824064,.90741897,.87210053,.45771143,.43219724,PLFS_1718,July 2017 - June 2018,CHATTISGARH,.60083324,.57310247,.75871724,.72333926,.43535057,.4156225,.52421761,.47913563,.64198518,.62357414
21389,15966,8012,6030,1982,5092,2920,8445,6396,2049,5274,3171,8317,7649,9490,6476,.75050324,.73806375,.7374922,.72393703,.79111761,.78371501,.88244218,.86952347,.53106278,.51816136,PLFS_1718,July 2017 - June 2018,MADHYA PRADESH,.52893651,.50181633,.76902729,.72502106,.26787814,.25911883,.48965409,.45089561,.55574286,.53656483
15969,12040,5681,4629,1049,2984,2697,5986,4886,1097,3150,2836,6266,5770,6077,5963,.60524559,.58928263,.58104789,.57819223,.71194166,.64784056,.75619048,.73913044,.43758816,.42898032,PLFS_1718,July 2017 - June 2018,GUJARAT,.49717608,.47184387,.77976382,.73874879,.19012132,.18180242,.47559953,.4522891,.51834786,.49103177
1187,893,526,401,125,239,287,538,411,127,245,293,502,391,401,492,.37360594,.25760648,.31143552,.25121951,.57480317,.28915662,.55510205,.34615386,.221843,.19298245,PLFS_1718,July 2017 - June 2018,D & N. HAVELI & DAMAN & DIU,.6024636,.58902574,.81872511,.79880476,.32480818,.31969309,.59552848,.58333331,.61097258,.59600997
33075,24660,12426,9053,3373,6431,5995,13106,9538,3568,6626,6480,12560,12096,11389,13271,.62765145,.61806142,.60148877,.59218699,.6975897,.68843073,.84394807,.83078802,.40648147,.40180096,PLFS_1718,July 2017 - June 2018,MAHARASHTRA,.53146797,.50389296,.75939488,.72078025,.29497355,.27885252,.48828271,.45173687,.58178943,.56466764
14565,11159,6237,4072,2165,3851,2386,6645,4359,2286,4041,2604,5452,5707,6200,4959,.70880359,.69121248,.67125487,.65392584,.78040242,.76518959,.84063351,.8213293,.50422424,.49126214,PLFS_1718,July 2017 - June 2018,ANDHRA PRADESH,.59548348,.55892104,.79952312,.7468819,.40056071,.37935868,.52510589,.48114538,.65177417,.62112904
16691,12643,6148,4649,1498,2963,3185,6504,4919,1584,3087,3417,6358,6284,5741,6902,.64037514,.63830769,.64301687,.64091092,.63194442,.62998104,.82960802,.82604468,.46941763,.46850279,PLFS_1718,July 2017 - June 2018,KARNATAKA,.51443487,.48627698,.77367097,.73120481,.25206876,.23838319,.49507388,.46146044,.5377112,.51611215
1661,1204,564,406,158,261,303,646,442,204,303,343,576,627,552,652,.33436534,.31661442,.35746607,.3484163,.28431374,.24489796,.36963695,.34006733,.30320701,.29618767,PLFS_1718,July 2017 - June 2018,GOA,.53654486,.46843854,.7673611,.7048611,.32535884,.25199363,.52607363,.46472391,.54891306,.47282609
638,468,165,137,28,61,104,212,157,55,74,138,208,260,153,315,.35849056,.35849056,.47133759,.47133759,.036363635,.036363635,.43243244,.43243244,.31884059,.31884059,PLFS_1718,July 2017 - June 2018,LAKSHDWEEP,.45299146,.3525641,.75480771,.65865386,.21153846,.10769231,.43809524,.33015874,.48366013,.39869282
17400,12267,5274,3853,1420,2468,2806,6054,4146,1907,2747,3307,5588,6677,5547,6720,.54592007,.52128744,.61939216,.60606062,.38594651,.3207331,.61630869,.59344387,.48745087,.46177751,PLFS_1718,July 2017 - June 2018,KERALA,.49351919,.42993397,.74194705,.68951327,.28560731,.21267036,.49211308,.41755953,.49522263,.44492519
23614,17969,9244,6391,2853,4732,4512,10074,6959,3115,5154,4920,8824,9144,8681,9288,.54744887,.52739936,.51875269,.50490057,.61155701,.57993942,.67326349,.64640445,.4156504,.40451282,PLFS_1718,July 2017 - June 2018,TAMIL NADU,.56063223,.51444155,.78864461,.72427469,.34066054,.31200787,.52971578,.48578811,.59371042,.54509848
2075,1556,642,503,139,141,501,723,551,172,154,569,746,810,343,1213,.44398341,.43828017,.51361161,.5090909,.22093023,.21052632,.58441556,.5714286,.4059754,.40211639,PLFS_1718,July 2017 - June 2018,PONDICHERRY,.46465296,.4125964,.73860592,.67426276,.21234567,.17160493,.46908492,.41302556,.44897959,.41107872
1863,1413,696,557,139,349,347,833,600,233,416,417,726,687,734,679,.34573829,.33293125,.41499999,.40201005,.16738197,.15517241,.47115386,.45278451,.22062351,.2139423,PLFS_1718,July 2017 - June 2018,A & N ISLANDS,.58952582,.492569,.82644629,.76721764,.33915576,.20232897,.61413842,.51104563,.5667575,.47547683
10453,8121,3982,2802,1180,1922,2060,4357,3078,1279,2072,2285,4108,4013,3569,4552,.5967409,.59258407,.55458087,.55086124,.69820172,.69407117,.8141892,.80931586,.39956236,.39675581,PLFS_1718,July 2017 - June 2018,TELANGANA,.53651029,.49033371,.74926972,.68208373,.31871417,.29404435,.50197715,.45254833,.58055478,.53852618
14722,10875,5557,4085,1472,3557,2000,5862,4234,1628,3673,2189,5554,5321,6331,4544,.71204364,.55653822,.69697684,.59130859,.75122851,.33843797,.82929486,.6256066,.51530379,.46714976,PLFS_1819,July 2018 - June 2019,JAMMU & KASHMIR,.53903449,.51098853,.76233345,.73550594,.30595753,.27663973,.48173416,.44014084,.58016109,.56183857
551,398,239,154,85,130,109,242,154,88,132,110,202,196,210,188,.63223141,.40101522,.61038959,.47260273,.67045456,.19607843,.81818181,.5,.40909091,.31067961,PLFS_1819,July 2018 - June 2019,LADAKH,.60804021,.60050249,.76237625,.76237625,.44897959,.43367347,.58510637,.57978725,.62857145,.61904764
7278,5161,3409,1879,1528,2938,471,3592,1984,1606,3080,512,2522,2637,4256,905,.79259467,.72355145,.72832662,.65394402,.87173098,.81424767,.8496753,.77609426,.44921875,.41082165,PLFS_1819,July 2018 - June 2019,HIMACHAL PRADESH,.69598913,.66053092,.78667724,.74504364,.60902542,.57944632,.56574583,.52044201,.72368419,.69031954
13355,9950,4527,3698,828,2175,2352,4900,3985,914,2365,2535,5133,4814,4943,5007,.54142857,.52833331,.55207026,.54684752,.49562362,.43887532,.67484146,.65953732,.41696253,.40852928,PLFS_1819,July 2018 - June 2019,PUNJAB,.49246231,.45497486,.77634913,.72043639,.18986291,.17199834,.50629121,.46974236,.47845438,.44001618
