pop_tot_unw,pop_workingage_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,worker_PS_rur_unw,worker_PS_urb_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,labor_force_PS_rur_unw,labor_force_PS_urb_unw,pop_m_unw,pop_f_unw,pop_rur_unw,pop_urb_unw,s_casual_w_worker_PS_unw,s_casual_w_worker_P_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_worker_PS_m_unw,s_casual_w_worker_P_m_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_worker_PS_f_unw,s_casual_w_worker_P_f_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_worker_PS_rur_unw,s_casual_w_worker_P_rur_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_worker_PS_urb_unw,s_casual_w_worker_P_urb_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,data,time,state_name,lf_share_unw,worker_share_unw,lf_share_m_unw,worker_share_m_unw,lf_share_f_unw,worker_share_f_unw,lf_share_urb_unw,worker_share_urb_unw,lf_share_rur_unw,worker_share_rur_unw
14971,11109,5331,4136,1194,3324,2007,5714,4339,1374,3479,2235,5758,5350,6416,4693,.72219098,.61263108,.67378366,.5568912,.6989845,.63169926,.66628253,.59341449,.80234504,.44419643,.69723433,.314376,.84897715,.71207178,.81115264,.65688485,.51220727,.48655635,.45995525,.43424088,PLFS_1718,July 2017 - June 2018,JAMMU & KASHMIR,.51435775,.47988117,.75356025,.71830499,.25682244,.22317757,.4762412,.4276582,.54223818,.51807982
549,402,211,134,77,116,95,230,138,92,125,105,188,214,222,180,.63033175,.5,.5782609,.43915343,.57462686,.5271318,.557971,.50370371,.72727275,.4054054,.60869563,.27777779,.67241377,.51724136,.62400001,.46391752,.57894737,.48101267,.52380955,.41304347,PLFS_1718,July 2017 - June 2018,LADAKH,.57213932,.52487564,.73404253,.71276593,.42990655,.35981309,.58333331,.52777779,.56306309,.52252251
7648,5421,3365,1978,1386,2894,471,3531,2087,1443,3029,502,2631,2789,4480,941,.81188709,.77355576,.77371848,.72833043,.73913044,.69444442,.70052707,.65154439,.9163059,.89318883,.88011086,.84542125,.86420178,.82342345,.82568502,.7769466,.49044585,.47402596,.46015936,.44064388,PLFS_1718,July 2017 - June 2018,HIMACHAL PRADESH,.65135586,.62073416,.79323453,.75180542,.51738977,.49695233,.53347504,.50053138,.67611605,.64598215
13374,9977,4400,3690,708,2040,2360,4798,3989,807,2224,2574,5166,4809,4845,5132,.59931821,.5930447,.549604,.54313433,.61897022,.61665761,.57257456,.57024586,.49717513,.46024466,.43618339,.39973441,.74705881,.74103588,.68525177,.67883211,.47161016,.46572408,.43240094,.42644173,PLFS_1718,July 2017 - June 2018,PUNJAB,.48090607,.44101432,.77216417,.71428573,.16781035,.14722395,.50155884,.4598597,.45902991,.42105263
1389,1010,484,377,107,76,408,539,409,130,82,457,520,490,149,861,.33677685,.32150313,.30241188,.2883895,.35809019,.34574467,.33007336,.31862745,.26168224,.23300971,.21538462,.19047619,.28947368,.26027396,.2682927,.24050634,.34558824,.33251232,.30853391,.29670331,PLFS_1718,July 2017 - June 2018,CHANDIGARH,.53366339,.47920793,.78653848,.72500002,.26530612,.21836735,.53077817,.4738676,.55033559,.51006711
7003,5184,2099,1723,376,1206,893,2304,1864,440,1305,999,2654,2528,2850,2334,.66650784,.66061187,.60720485,.60165435,.66337782,.66026759,.61319745,.61021507,.68085104,.66219836,.58181816,.56521738,.78938639,.77990031,.7295019,.72064465,.50055993,.49887386,.44744745,.44567403,PLFS_1718,July 2017 - June 2018,UTTARANCHAL,.44444445,.40489969,.70233607,.64920872,.17405063,.14873418,.42802057,.38260496,.45789474,.4231579
12004,8550,3641,3105,536,1946,1695,3946,3369,577,2118,1828,4521,4028,4572,3978,.61219448,.6074869,.56487584,.56029451,.60418677,.59929079,.55684179,.55212355,.65858209,.65536726,.61178511,.60839158,.74563205,.73957795,.68508029,.67911154,.45899704,.4556213,.42560175,.42238069,PLFS_1718,July 2017 - June 2018,HARYANA,.46152046,.42584795,.74518913,.68679494,.14324728,.13306852,.4595274,.42609352,.4632546,.42563429
3956,3074,1283,1123,158,82,1201,1428,1250,176,90,1338,1673,1398,195,2879,.3390491,.33568075,.30462185,.30147576,.35440785,.35325602,.3184,.31730768,.23417722,.21290323,.21022727,.19075145,.40243903,.40243903,.36666667,.36666667,.33472106,.33110368,.30044842,.29707426,PLFS_1718,July 2017 - June 2018,DELHI,.46454132,.41737151,.74716079,.67124927,.12589413,.11301859,.46474472,.41715872,.46153846,.42051283
20771,14730,6767,5153,1611,4339,2428,7189,5525,1661,4541,2648,7643,7084,8800,5930,.73607212,.70822906,.69286412,.66164863,.69959247,.68235528,.65248871,.63253009,.85288638,.80883473,.82721251,.7791636,.86010599,.82971287,.82184541,.78483701,.51441514,.50439882,.47167674,.46165645,PLFS_1718,July 2017 - June 2018,RAJASTHAN,.48805159,.45940259,.7228837,.67421168,.23447205,.22741389,.44654301,.4094435,.51602274,.49306819
44933,31233,12726,10836,1887,8299,4427,13650,11684,1963,8766,4884,15815,15412,20068,11165,.80323744,.78815168,.74886447,.73101389,.80444813,.79637754,.74606299,.73655123,.79597247,.72446042,.76515538,.68690312,.90818173,.89500904,.85979921,.84209245,.60650551,.59899288,.54975432,.54193413,PLFS_1718,July 2017 - June 2018,UTTAR PRADESH,.43703774,.40745366,.7387923,.68517232,.12736829,.12243706,.43743843,.39650694,.43681481,.41354394
