s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,data,time,state_name
.67378366,.5568912,.66628253,.59341449,.69723433,.314376,.81115264,.65688485,.45995525,.43424088,PLFS_1718,July 2017 - June 2018,JAMMU & KASHMIR
.5782609,.43915343,.557971,.50370371,.60869563,.27777779,.62400001,.46391752,.52380955,.41304347,PLFS_1718,July 2017 - June 2018,LADAKH
.77371848,.72833043,.70052707,.65154439,.88011086,.84542125,.82568502,.7769466,.46015936,.44064388,PLFS_1718,July 2017 - June 2018,HIMACHAL PRADESH
.549604,.54313433,.57257456,.57024586,.43618339,.39973441,.68525177,.67883211,.43240094,.42644173,PLFS_1718,July 2017 - June 2018,PUNJAB
.30241188,.2883895,.33007336,.31862745,.21538462,.19047619,.2682927,.24050634,.30853391,.29670331,PLFS_1718,July 2017 - June 2018,CHANDIGARH
.60720485,.60165435,.61319745,.61021507,.58181816,.56521738,.7295019,.72064465,.44744745,.44567403,PLFS_1718,July 2017 - June 2018,UTTARANCHAL
.56487584,.56029451,.55684179,.55212355,.61178511,.60839158,.68508029,.67911154,.42560175,.42238069,PLFS_1718,July 2017 - June 2018,HARYANA
.30462185,.30147576,.3184,.31730768,.21022727,.19075145,.36666667,.36666667,.30044842,.29707426,PLFS_1718,July 2017 - June 2018,DELHI
.69286412,.66164863,.65248871,.63253009,.82721251,.7791636,.82184541,.78483701,.47167674,.46165645,PLFS_1718,July 2017 - June 2018,RAJASTHAN
.74886447,.73101389,.74606299,.73655123,.76515538,.68690312,.85979921,.84209245,.54975432,.54193413,PLFS_1718,July 2017 - June 2018,UTTAR PRADESH
.74291861,.74199927,.75630093,.75555134,.50830567,.49829352,.80133301,.80035973,.60703635,.60598803,PLFS_1718,July 2017 - June 2018,BIHAR
.5955143,.59087396,.60591716,.60118341,.57589287,.5714286,.6946848,.68726826,.42975205,.42975205,PLFS_1718,July 2017 - June 2018,SIKKIM
.59626007,.59328514,.60692769,.60592371,.53739613,.52354568,.71318328,.70868164,.36842105,.36842105,PLFS_1718,July 2017 - June 2018,ARUNACHAL PRADESH
.3565737,.35548171,.37777779,.37692308,.28273809,.280597,.43004587,.43004587,.25552049,.25276461,PLFS_1718,July 2017 - June 2018,NAGALAND
.65319693,.64787644,.66632617,.66280651,.61316872,.60126585,.72828186,.72316658,.56855279,.56297916,PLFS_1718,July 2017 - June 2018,MANIPUR
.54021186,.53942722,.57207721,.5709421,.46946564,.46946564,.76254183,.76254183,.41949153,.41828087,PLFS_1718,July 2017 - June 2018,MIZORAM
.60288948,.59749901,.63097429,.62454045,.44415584,.44386423,.69141531,.68543237,.42054957,.41626793,PLFS_1718,July 2017 - June 2018,TRIPURA
.70362562,.69237399,.71818835,.71746945,.68297654,.65483868,.81560284,.8051157,.42500001,.4197349,PLFS_1718,July 2017 - June 2018,MEGHALAYA
.63169986,.62617362,.68045777,.67481285,.30588236,.29985228,.68068498,.67464715,.47645649,.47242206,PLFS_1718,July 2017 - June 2018,ASSAM
.6551795,.6308617,.6622262,.64865911,.62632698,.54289371,.79816866,.7768513,.48674157,.45913124,PLFS_1718,July 2017 - June 2018,WEST BENGAL
.70875293,.68743342,.70900619,.69358373,.70705521,.65178573,.82722086,.8044312,.50387597,.4925479,PLFS_1718,July 2017 - June 2018,JHARKHAND
