state_per_fv,total_workers_w,total_agri_w,total_workers_unw,total_agri_unw,share_agri_weighted,share_agri_unweighted,state_name
01,14487867.38862991,8219806.319747925,5331,2341,.5673579,.43912962,JAMMU & KASHMIR
0134,345197.0829391479,158153.3617858887,211,73,.45815381,.34597155,LADAKH & JAMMU KASHMIR COMBINED
02,11961761.14736176,7583044.186256409,3365,2069,.63394046,.61485887,HIMACHAL PRADESH
03,29698092.47696686,7523629.848205566,4400,917,.25333714,.20840909,PUNJAB
04,1196489.284042358,5364.714881896973,484,7,.0044837133,.01446281,CHANDIGARH
05,10372999.00273895,4448507.256523132,2099,737,.4288545,.35111958,UTTRAKHAND
06,30420323.91837311,8408733.835350037,3641,859,.2764183,.2359242,HARYANA
07,19113700.00031662,233590.7875976563,1283,11,.012221118,.008573655,DELHI
08,83018623.41583252,45073782.34927368,6767,2956,.54293579,.43682578,RAJASTHAN
09,197000791.7989044,98933898.52246094,12726,5435,.50220048,.42707843,UTTAR PRADESH
10,87687815.64344788,38875906.79908752,5124,1848,.44334444,.36065573,BIHAR
11,940975.65883255,404780.1599121094,1238,425,.43017071,.34329563,SIKKIM
12,1369303.326070786,677134.3210430145,2168,875,.49451008,.40359777,ARUNACHAL PRADESH
13,1730177.197166443,550852.8475494385,1165,296,.31837943,.25407726,NAGALAND
14,2976449.783424377,966412.782491684,3490,935,.32468641,.2679083,MANIPUR
15,1206094.509780884,524483.3092422485,2213,710,.43486089,.32083145,MIZORAM
16,4020634.928089142,1080052.643043518,2348,538,.26862738,.22913118,TRIPURA
17,4603170.312316895,2563908.94203186,2308,956,.55698764,.41421145,MEGHALAYA
18,33219483.48913574,15013918.40493774,4729,1774,.45196122,.37513217,ASSAM
19,120048472.707592,46390055.91836166,9079,2805,.3864277,.30895475,WEST BENGAL
20,32269628.48536682,16323837.71965027,3527,1468,.50585765,.41621774,JHARKHAND
21,48815618.54324341,26977807.40103149,5208,2527,.55264705,.48521507,ODISHA
22,44335308.10206604,33269006.5566864,4402,2856,.7503953,.64879602,CHHATTISGARH
23,101263623.3972912,63204925.09336853,8012,4170,.6241622,.52046931,MADHYA PRADESH
24,73912055.81747437,31259968.25109863,5681,2118,.42293462,.37282169,GUJARAT
2526,1231956.312452316,253526.3699645996,526,102,.20579168,.19391635,D & N. HAVELI & DAMAN & DIU
27,147601182.3817596,70877850.47149658,12426,5073,.48019838,.40825689,MAHARASHTRA
28,82729603.86290741,41990034.43275452,6237,2708,.50755757,.43418309,ANDHRA PRADESH
29,83705611.65531921,37856387.63238525,6148,2157,.45225626,.35084581,KARNATAKA
30,1592035.501052856,116771.9545288086,564,41,.073347583,.072695032,GOA
31,39165.43031311035,3010.759986877441,165,12,.076872893,.07272727,LAKSHADWEEP
32,36258343.89654541,6437419.427978516,5274,856,.17754312,.16230565,KERALA
33,97459385.42601013,26282866.24320984,9244,2344,.2696802,.25356987,TAMIL NADU
34,1265244.887634277,91194.67565917969,642,47,.072076701,.073208719,PUDUCHERRY
35,547883.0989646912,62832.0793762207,696,82,.11468154,.11781609,A & N ISLAND
36,47571746.48068237,20613040.52586365,3982,1369,.43330425,.34379709,TELANGANA
