STATE_UT,custom_year,total_exposure,total_state_pop,weighted_score
ANDAMAN AND NICOBAR ISLANDS,1993,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,1994,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,1995,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,1996,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,1997,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,1998,264149.21875,397624.51171875,0.6643182474043238
ANDAMAN AND NICOBAR ISLANDS,1999,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,2000,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,2001,28956.75390625,397624.51171875,0.07282436834963497
ANDAMAN AND NICOBAR ISLANDS,2002,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,2003,28956.75390625,397624.51171875,0.07282436834963497
ANDAMAN AND NICOBAR ISLANDS,2004,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,2005,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,2006,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,2007,28956.75390625,397624.51171875,0.07282436834963497
ANDAMAN AND NICOBAR ISLANDS,2008,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,2009,28956.75390625,397624.51171875,0.07282436834963497
ANDAMAN AND NICOBAR ISLANDS,2010,264149.21875,397624.51171875,0.6643182474043238
ANDAMAN AND NICOBAR ISLANDS,2011,28956.75390625,397624.51171875,0.07282436834963497
ANDAMAN AND NICOBAR ISLANDS,2012,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,2013,737335.515625,397624.51171875,1.85435126330073
ANDAMAN AND NICOBAR ISLANDS,2014,57913.5078125,397624.51171875,0.14564873669926995
ANDAMAN AND NICOBAR ISLANDS,2015,28956.75390625,397624.51171875,0.07282436834963497
ANDAMAN AND NICOBAR ISLANDS,2016,737335.515625,397624.51171875,1.85435126330073
ANDAMAN AND NICOBAR ISLANDS,2017,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,2018,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,2019,28956.75390625,397624.51171875,0.07282436834963497
ANDAMAN AND NICOBAR ISLANDS,2020,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,2021,531099.8046875,397624.51171875,1.3356817525956761
ANDAMAN AND NICOBAR ISLANDS,2022,0.0,397624.51171875,0.0
ANDAMAN AND NICOBAR ISLANDS,2023,162432.046875,397624.51171875,0.4085061209453112
ANDAMAN AND NICOBAR ISLANDS,2024,28956.75390625,397624.51171875,0.07282436834963497
ANDHRA PRADESH,1993,0.0,49717029.75,0.0
ANDHRA PRADESH,1994,33409025.625,49717029.75,0.6719835395033832
ANDHRA PRADESH,1995,53991003.5625,49717029.75,1.0859659926184548
ANDHRA PRADESH,1996,11625692.625,49717029.75,0.23383723210053595
ANDHRA PRADESH,1997,13719730.0,49717029.75,0.27595634873984
ANDHRA PRADESH,1998,13256929.0,49717029.75,0.2666476470268218
ANDHRA PRADESH,1999,20457892.875,49717029.75,0.4114866269741305
ANDHRA PRADESH,2000,25829355.375,49717029.75,0.5195273230295903
ANDHRA PRADESH,2001,33647175.3125,49717029.75,0.6767736423855852
ANDHRA PRADESH,2002,0.0,49717029.75,0.0
ANDHRA PRADESH,2003,7854166.25,49717029.75,0.15797738299118724
ANDHRA PRADESH,2004,2140995.75,49717029.75,0.04306362952022491
ANDHRA PRADESH,2005,34026141.125,49717029.75,0.6843960971944427
ANDHRA PRADESH,2006,34749636.625,49717029.75,0.6989483643680463
ANDHRA PRADESH,2007,14922557.0625,49717029.75,0.3001498105887953
ANDHRA PRADESH,2008,21502105.75,49717029.75,0.4324897496516272
ANDHRA PRADESH,2009,56804432.25,49717029.75,1.1425548254921645
ANDHRA PRADESH,2010,12534517.125,49717029.75,0.25211717570476944
ANDHRA PRADESH,2011,2469686.25,49717029.75,0.04967485512345998
ANDHRA PRADESH,2012,18503468.5,49717029.75,0.37217566280696807
ANDHRA PRADESH,2013,8683825.5,49717029.75,0.17466501003109502
ANDHRA PRADESH,2014,32526829.0625,49717029.75,0.6542391857691378
ANDHRA PRADESH,2015,43889544.9375,49717029.75,0.8827869476152685
ANDHRA PRADESH,2016,17062642.25,49717029.75,0.3431951252075754
ANDHRA PRADESH,2017,16453059.5,49717029.75,0.3309340799869485
ANDHRA PRADESH,2018,5414790.0625,49717029.75,0.10891217938255855
ANDHRA PRADESH,2019,14993701.9375,49717029.75,0.30158080667520165
ANDHRA PRADESH,2020,51222924.3125,49717029.75,1.0302893107265725
ANDHRA PRADESH,2021,18955920.0,49717029.75,0.38127619641235705
ANDHRA PRADESH,2022,10908064.9375,49717029.75,0.2194029891236614
ANDHRA PRADESH,2023,29467468.1875,49717029.75,0.5927037141131707
ANDHRA PRADESH,2024,39325884.25,49717029.75,0.7909942417668264
ARUNACHAL PRADESH,1993,0.0,1431254.3544921875,0.0
ARUNACHAL PRADESH,1994,470493.912109375,1431254.3544921875,0.3287283707697835
ARUNACHAL PRADESH,1995,369476.24609375,1431254.3544921875,0.25814855684742427
ARUNACHAL PRADESH,1996,247218.66015625,1431254.3544921875,0.1727286693523904
ARUNACHAL PRADESH,1997,174965.4609375,1431254.3544921875,0.1222462383351687
ARUNACHAL PRADESH,1998,221890.08203125,1431254.3544921875,0.15503190004964362
ARUNACHAL PRADESH,1999,0.0,1431254.3544921875,0.0
ARUNACHAL PRADESH,2000,87351.1953125,1431254.3544921875,0.06103121715461429
ARUNACHAL PRADESH,2001,198523.076171875,1431254.3544921875,0.13870565741776308
ARUNACHAL PRADESH,2002,157791.5126953125,1431254.3544921875,0.11024700969472145
