"STATE","spei_spei12","spei_negative","spei_positive","spei_spei_lag1","spei_spei_lag2","spei_spei_lag3","spei_neg_spei_lag1","spei_neg_spei_lag2","spei_neg_spei_lag3","year","FI_state","FI_lag1","FI_lag2","FI_lag3","pop_tot_unw","pop_workingage_unw","worker_PS_unw","worker_PS_m_unw","worker_PS_f_unw","worker_PS_rur_unw","worker_PS_urb_unw","labor_force_PS_unw","labor_force_PS_m_unw","labor_force_PS_f_unw","labor_force_PS_rur_unw","labor_force_PS_urb_unw","worker_W_unw","worker_W_m_unw","worker_W_f_unw","worker_W_rur_unw","worker_W_urb_unw","labor_force_W_unw","labor_force_W_m_unw","labor_force_W_f_unw","labor_force_W_rur_unw","labor_force_W_urb_unw","pop_m_unw","pop_f_unw","pop_rur_unw","pop_urb_unw","s_casual_w_worker_PS_unw","s_casual_w_worker_P_unw","s_casual_w_worker_WD_unw","s_casual_w_worker_W_unw","s_casual_w_lf_PS_unw","s_casual_w_lf_P_unw","s_casual_w_lf_WD_unw","s_casual_w_lf_W_unw","s_casual_w_worker_PS_m_unw","s_casual_w_worker_P_m_unw","s_casual_w_worker_WD_m_unw","s_casual_w_worker_W_m_unw","s_casual_w_lf_PS_m_unw","s_casual_w_lf_P_m_unw","s_casual_w_lf_WD_m_unw","s_casual_w_lf_W_m_unw","s_casual_w_worker_PS_f_unw","s_casual_w_worker_P_f_unw","s_casual_w_worker_WD_f_unw","s_casual_w_worker_W_f_unw","s_casual_w_lf_PS_f_unw","s_casual_w_lf_P_f_unw","s_casual_w_lf_WD_f_unw","s_casual_w_lf_W_f_unw","s_casual_w_worker_PS_rur_unw","s_casual_w_worker_P_rur_unw","s_casual_w_worker_WD_rur_unw","s_casual_w_worker_W_rur_unw","s_casual_w_lf_PS_rur_unw","s_casual_w_lf_P_rur_unw","s_casual_w_lf_WD_rur_unw","s_casual_w_lf_W_rur_unw","s_casual_w_worker_PS_urb_unw","s_casual_w_worker_P_urb_unw","s_casual_w_worker_WD_urb_unw","s_casual_w_worker_W_urb_unw","s_casual_w_lf_PS_urb_unw","s_casual_w_lf_P_urb_unw","s_casual_w_lf_WD_urb_unw","s_casual_w_lf_W_urb_unw","data","time","lf_share_unw","worker_share_unw","lf_share_m_unw","worker_share_m_unw","lf_share_f_unw","worker_share_f_unw","lf_share_urb_unw","worker_share_urb_unw","lf_share_rur_unw","worker_share_rur_unw","total_exposure","total_state_pop","pr_score","pr_lag1","pr_lag2","pr_lag3","state_pop","share_agri_unweighted","share_agri_weighted","agri_share_std","agri_group"
"ANDHRA PRADESH",0.0470074420761433,0,0.0470074420761433,-0.62279554484701,0.571233754471932,0.559439705927329,-0.62279554484701,0,0,2017,0.2506830780624,0.328769444752949,0.855258286613622,0.165833453467711,14565,11159,6237,4072,2165,3851,2386,6645,4359,2286,4041,2604,5796,3901,1895,3494,2302,6417,4301,2116,3852,2565,5452,5707,6200,4959,0.75517076,0.7411359,0.72239476,0.69806761,0.70880359,0.69121248,0.65248561,0.63051271,0.71856582,0.70453984,0.69033581,0.66700846,0.67125487,0.65392584,0.62613344,0.60497558,0.82401848,0.81271225,0.78839052,0.76200527,0.78040242,0.76518959,0.70604914,0.68241966,0.88210857,0.86968154,0.85518032,0.82741845,0.84063351,0.8213293,0.77570093,0.75051922,0.55029339,0.53715497,0.52085143,0.50173759,0.50422424,0.49126214,0.46744639,0.45029241,"PLFS_1718","July 2017 - June 2018",0.59548348,0.55892104,0.79952312,0.7468819,0.40056071,0.37935868,0.52510589,0.48114538,0.65177417,0.62112904,16453059.5,49717029.75,0.330934079986949,0.343195125207575,0.882786947615269,0.654239185769138,53812796.25,0.43418309,0.50755757,0.684584225545514,"High agri"
"ANDHRA PRADESH",-0.80066711488564,-0.80066711488564,0,0.0470074420761433,-0.62279554484701,0.571233754471932,0,-0.62279554484701,0,2018,0.13726834736146,0.2506830780624,0.328769444752949,0.855258286613622,14178,10879,5928,3959,1964,3636,2292,6354,4236,2113,3838,2516,5447,3782,1662,3237,2210,6077,4182,1891,3604,2473,5393,5479,5972,4907,0.71558702,0.69845891,0.67560124,0.65742612,0.66761094,0.65014344,0.60556197,0.58927101,0.67820156,0.66192168,0.64383924,0.62612373,0.63385272,0.6175006,0.58225727,0.56623626,0.79073322,0.7743293,0.74849582,0.72924185,0.73497397,0.71734893,0.65785301,0.64093071,0.84405941,0.83043236,0.8115539,0.79209143,0.79963523,0.78419936,0.72891229,0.71143174,0.51178008,0.49209833,0.47647059,0.460181,0.46621621,0.44804156,0.42579862,0.41124141,"PLFS_1819","July 2018 - June 2019",0.58406103,0.54490304,0.78546262,0.73409975,0.38565433,0.35845956,0.51273692,0.46708784,0.64266574,0.60884124,5414790.0625,49717029.75,0.108912179382559,0.330934079986949,0.343195125207575,0.882786947615269,53812796.25,0.43418309,0.50755757,0.684584225545514,"High agri"
"ANDHRA PRADESH",1.3144095659931,0,1.3144095659931,-0.80066711488564,0.0470074420761433,-0.62279554484701,-0.80066711488564,0,-0.62279554484701,2019,0.246371318099973,0.13726834736146,0.2506830780624,0.328769444752949,13885,10733,5921,3941,1980,3619,2302,6291,4189,2102,3788,2503,5388,3672,1716,3281,2107,6061,4143,1918,3618,2443,5301,5432,5888,4845,0.72352642,0.70980996,0.66592425,0.65311801,0.68097281,0.66516924,0.59198153,0.58059728,0.69474751,0.67895544,0.63698256,0.62363833,0.65361661,0.63597125,0.56456673,0.55273956,0.78080809,0.772093,0.7278555,0.71620047,0.73549002,0.72418809,0.65119916,0.64077163,0.85465598,0.84007871,0.80859494,0.79548919,0.81652588,0.79941159,0.73327804,0.72139305,0.51737618,0.50678933,0.4437589,0.43141907,0.47582901,0.46391338,0.38272616,0.37208351,"PLFS_1920","July 2019 - June 2020",0.58613622,0.5516631,0.79022825,0.74344462,0.38696614,0.36450663,0.51661509,0.47512901,0.64334238,0.61463994,14993701.9375,49717029.75,0.301580806675202,0.108912179382559,0.330934079986949,0.343195125207575,53812796.25,0.43418309,0.50755757,0.684584225545514,"High agri"
"ANDHRA PRADESH",1.774221369515,0,1.774221369515,1.3144095659931,-0.80066711488564,0.0470074420761433,0,-0.80066711488564,0,2020,0.919882299846447,0.246371318099973,0.13726834736146,0.2506830780624,14102,10969,6272,4014,2256,3830,2442,6611,4252,2357,3971,2640,5834,3845,1987,3502,2332,6391,4202,2187,3792,2599,5476,5491,5977,4992,0.72385204,0.70727748,0.68906409,0.67432296,0.68673426,0.66789383,0.62900954,0.61555314,0.68435478,0.66818064,0.65773731,0.64343303,0.6460489,0.62763691,0.60185623,0.58876723,0.79432625,0.77818346,0.74987417,0.73427278,0.76028848,0.7419495,0.68129855,0.66712391,0.86292428,0.84461087,0.83123928,0.81867504,0.83228403,0.81119961,0.76766878,0.75606543,0.50573301,0.49482831,0.47555748,0.45754716,0.46780303,0.45544556,0.42670259,0.41054252,"PLFS_2021","July 2020 - June 2021",0.6026985,0.57179326,0.77647918,0.73301679,0.42924786,0.41085413,0.52884614,0.48918268,0.66438013,0.64078969,51222924.3125,49717029.75,1.03028931072657,0.301580806675202,0.108912179382559,0.330934079986949,53812796.25,0.43418309,0.50755757,0.684584225545514,"High agri"
"ANDHRA PRADESH",1.26927241254938,0,1.26927241254938,1.774221369515,1.3144095659931,-0.80066711488564,0,0,-0.80066711488564,2021,0.325798116405446,0.919882299846447,0.246371318099973,0.13726834736146,13661,10517,6075,3936,2138,3886,2189,6402,4162,2239,4031,2371,5560,3738,1821,3478,2082,6080,4083,1996,3766,2314,5196,5320,5953,4564,0.71440327,0.68856364,0.66816545,0.65089929,0.67791313,0.64954245,0.61101973,0.59523028,0.67174798,0.64514464,0.63215625,0.61209202,0.63527149,0.60689992,0.57874113,0.56037229,0.79279703,0.77234149,0.74190003,0.73036796,0.75703436,0.73248106,0.67685372,0.66633266,0.84482759,0.81737733,0.80046004,0.78320873,0.8144381,0.78354758,0.73924589,0.72331387,0.48286888,0.46483466,0.44716617,0.42987511,0.44580346,0.42667806,0.40233362,0.38677615,"PLFS_2122","July 2021 - June 2022",0.60872871,0.57763618,0.80100077,0.75750577,0.42086467,0.4018797,0.51950043,0.47962314,0.67713755,0.65278012,18955920,49717029.75,0.381276196412357,1.03028931072657,0.301580806675202,0.108912179382559,53812796.25,0.43418309,0.50755757,0.684584225545514,"High agri"
"ANDHRA PRADESH",0.85884601902618,0,0.85884601902618,1.26927241254938,1.774221369515,1.3144095659931,0,0,0,2022,0.218058685833252,0.325798116405446,0.919882299846447,0.246371318099973,13656,10586,6202,3925,2276,3866,2336,6507,4134,2372,4004,2503,5675,3762,1912,3445,2230,6162,4067,2094,3710,2452,5255,5329,5886,4700,0.71170592,0.68288648,0.67013216,0.65110135,0.6783464,0.64731723,0.61716974,0.59964299,0.67082804,0.63999999,0.63795853,0.61642742,0.63691342,0.60399413,0.59011555,0.57019919,0.7820738,0.75946444,0.73326361,0.71914226,0.75042158,0.72562855,0.669532,0.65663803,0.84117949,0.80944759,0.79593617,0.77619737,0.81218779,0.77789176,0.73908353,0.72075474,0.49743152,0.47625273,0.47578475,0.45784754,0.46424291,0.44161615,0.432708,0.41639477,"PLFS_2223","July 2022 - June 2023",0.61467975,0.58586812,0.78667933,0.74690771,0.44511166,0.42709702,0.5325532,0.49702129,0.68025821,0.65681279,10908064.9375,49717029.75,0.219402989123661,0.381276196412357,1.03028931072657,0.301580806675202,53812796.25,0.43418309,0.50755757,0.684584225545514,"High agri"
"ANDHRA PRADESH",0.438244169522752,0,0.438244169522752,0.85884601902618,1.26927241254938,1.774221369515,0,0,0,2023,0.666867041196374,0.218058685833252,0.325798116405446,0.919882299846447,13649,10550,6075,3867,2208,3794,2281,6398,4077,2321,3932,2466,5566,3704,1862,3369,2197,6088,4028,2060,3672,2416,5232,5318,5859,4691,0.6967901,0.67349678,0.65379089,0.63654327,0.66161299,0.63660896,0.59773326,0.58196449,0.64494443,0.6199581,0.61042118,0.59071273,0.61172432,0.58458877,0.56132078,0.54319763,0.78759056,0.76919478,0.74006444,0.72771215,0.749246,0.73022223,0.66893202,0.657767,0.84343702,0.81665766,0.79726923,0.77945977,0.8138352,0.78360146,0.73148149,0.71514159,0.45287156,0.43882978,0.43377334,0.41738734,0.418897,0.40490797,0.39445364,0.37955299,"PLFS_2324","July 2023 - June 2024",0.60644549,0.57582939,0.77924311,0.73910552,0.43644229,0.41519368,0.52568752,0.48625028,0.67110431,0.64755076,29467468.1875,49717029.75,0.592703714113171,0.219402989123661,0.381276196412357,1.03028931072657,53812796.25,0.43418309,0.50755757,0.684584225545514,"High agri"
"ARUNACHAL PRADESH",-0.907204077381533,-0.907204077381533,0,-0.475758036839843,0.0016771084990252,-0.00457538149605011,-0.475758036839843,0,-0.00457538149605011,2017,NA,NA,NA,NA,7320,5576,2168,1864,304,1453,715,2353,1992,361,1555,798,2161,1863,298,1446,715,2352,1991,361,1552,800,3027,2549,3595,1981,0.6471402,0.64510167,0.64738548,0.64553446,0.59626007,0.59328514,0.59481293,0.59311223,0.64860517,0.64787978,0.6505636,0.64895332,0.60692769,0.60592371,0.60873932,0.60723257,0.6381579,0.62790698,0.62751681,0.62416106,0.53739613,0.52354568,0.51800555,0.51523548,0.76324844,0.76052451,0.76417702,0.76141077,0.71318328,0.70868164,0.71198452,0.70940721,0.41118881,0.41118881,0.41118881,0.41118881,0.36842105,0.36842105,0.36750001,0.36750001,"PLFS_1718","July 2017 - June 2018",0.42198709,0.38880917,0.6580773,0.6157912,0.14162417,0.11926246,0.40282685,0.36092883,0.43254521,0.40417245,0,1431254.35449219,0,0,0,0,1773951.74804688,0.40359777,0.49451008,0.613674931652862,"High agri"
"ARUNACHAL PRADESH",-0.351935041209212,-0.351935041209212,0,-0.907204077381533,-0.475758036839843,0.0016771084990252,-0.907204077381533,-0.475758036839843,0,2018,NA,NA,NA,NA,7522,5942,2277,1918,358,1513,764,2532,2082,449,1659,873,2274,1924,349,1510,764,2525,2083,441,1653,872,3195,2745,3829,2113,0.63987702,0.62279153,0.62445033,0.62225151,0.57543445,0.55974591,0.56237626,0.56039602,0.65015644,0.64371413,0.64449066,0.64241165,0.59894335,0.59298414,0.59529525,0.59337497,0.5865922,0.50867051,0.51575929,0.51289397,0.46770602,0.40274599,0.40816328,0.40589568,0.75611371,0.73169106,0.73443711,0.7317881,0.68957204,0.66686893,0.67090142,0.66848153,0.40968585,0.40813649,0.40706807,0.40575916,0.3585338,0.35706085,0.35665137,0.35550457,"PLFS_1819","July 2018 - June 2019",0.42611915,0.38320431,0.65164322,0.60031301,0.16357012,0.13041894,0.41315666,0.36157122,0.43327239,0.39514235,0,1431254.35449219,0,0,0,0,1773951.74804688,0.40359777,0.49451008,0.613674931652862,"High agri"
"ARUNACHAL PRADESH",0.124026867443524,0,0.124026867443524,-0.351935041209212,-0.907204077381533,-0.475758036839843,-0.351935041209212,-0.907204077381533,-0.475758036839843,2019,NA,NA,NA,NA,7765,5825,2445,1910,535,1659,786,2672,2064,608,1798,874,2437,1904,533,1652,785,2664,2062,602,1791,873,3078,2747,3812,2013,0.64785278,0.64279866,0.63561755,0.63233483,0.59281439,0.58816922,0.58145648,0.57845348,0.65130889,0.64921468,0.63865548,0.63707983,0.60271317,0.60077518,0.5897187,0.58826381,0.63551402,0.61985016,0.62476546,0.61538464,0.55921054,0.54530478,0.55315614,0.54485047,0.76913804,0.76236427,0.75544792,0.75121063,0.7096774,0.70339453,0.6968174,0.692909,0.3918575,0.39058524,0.38343948,0.38216561,0.35240275,0.35125858,0.34478807,0.34364262,"PLFS_1920","July 2019 - June 2020",0.45871246,0.41974249,0.67056531,0.62053281,0.22133236,0.19475792,0.43417785,0.39046201,0.47166842,0.43520463,61486.97265625,1431254.35449219,0.0429601995363471,0,0,0,1773951.74804688,0.40359777,0.49451008,0.613674931652862,"High agri"
