"STATE_UT","state_pop"
"ANDAMAN AND NICOBAR ISLANDS",397624.51171875
"ANDHRA PRADESH",53812796.25
"ARUNACHAL PRADESH",1773951.74804688
"ASSAM",35716641.109375
"BIHAR",128035146.4375
"CHANDIGARH",898124.25
"CHHATTISGARH",30120982.71875
"DADRA & NAGAR HAVELI & DAMAN & DIU",875565.0390625
"DELHI",19775592.0625
"GOA",1585803.21875
"GUJARAT",70774944.71875
"HARYANA",30018238.0625
"HIMACHAL PRADESH",7732092.41992188
"JAMMU AND KASHMIR",14837771.2880859
"JHARKHAND",40038789.75
"KARNATAKA",70289332.3125
"KERALA",34812874.375
"LADAKH",311120.59375
"LAKSHADWEEP",59763.80078125
"MADHYA PRADESH",85836175.875
"MAHARASHTRA",128873321.9375
"MANIPUR",3562590.84375
"MEGHALAYA",3830186.2890625
"MIZORAM",1347778.22460938
"NAGALAND",2063256.83300781
"ODISHA",47490688.78125
"PUDUCHERRY",1461973.203125
"PUNJAB",31400600.59375
"RAJASTHAN",81939817.5625
"SIKKIM",678183.79296875
"TAMIL NADU",82677789.1875
"TELANGANA",39809404.03125
"TRIPURA",4112980.1875
"UTTAR PRADESH",236277703.25
"UTTARAKHAND",12010594.5625
"WEST BENGAL",101858612.59375
NA,7221.02177643776
