pop_tot_unw,pop_workingage_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,worker_PS_rur_unw,worker_PS_urb_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,labor_force_PS_rur_unw,labor_force_PS_urb_unw,worker_W_unw,worker_W_m_unw,worker_W_f_unw,worker_W_rur_unw,worker_W_urb_unw,labor_force_W_unw,labor_force_W_m_unw,labor_force_W_f_unw,labor_force_W_rur_unw,labor_force_W_urb_unw,pop_m_unw,pop_f_unw,pop_rur_unw,pop_urb_unw,s_casual_w_worker_PS_unw,s_casual_w_worker_P_unw,s_casual_w_worker_WD_unw,s_casual_w_worker_W_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_WD_unw,s_casual_w_lf_W_unw,s_casual_w_worker_PS_m_unw,s_casual_w_worker_P_m_unw,s_casual_w_worker_WD_m_unw,s_casual_w_worker_W_m_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_WD_m_unw,s_casual_w_lf_W_m_unw,s_casual_w_worker_PS_f_unw,s_casual_w_worker_P_f_unw,s_casual_w_worker_WD_f_unw,s_casual_w_worker_W_f_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_WD_f_unw,s_casual_w_lf_W_f_unw,s_casual_w_worker_PS_rur_unw,s_casual_w_worker_P_rur_unw,s_casual_w_worker_WD_rur_unw,s_casual_w_worker_W_rur_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_lf_WD_rur_unw,s_casual_w_lf_W_rur_unw,s_casual_w_worker_PS_urb_unw,s_casual_w_worker_P_urb_unw,s_casual_w_worker_WD_urb_unw,s_casual_w_worker_W_urb_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,s_casual_w_lf_WD_urb_unw,s_casual_w_lf_W_urb_unw,data,time,state_name,lf_share_unw,worker_share_unw,lf_share_m_unw,worker_share_m_unw,lf_share_f_unw,worker_share_f_unw,lf_share_urb_unw,worker_share_urb_unw,lf_share_rur_unw,worker_share_rur_unw
14971,11109,5331,4136,1194,3324,2007,5714,4339,1374,3479,2235,4897,3930,966,2951,1946,5478,4234,1243,3215,2263,5758,5350,6416,4693,.72219098,.61263108,.67551559,.65039819,.67378366,.5568912,.60387003,.58141655,.6989845,.63169926,.65521628,.62748092,.66628253,.59341449,.60817194,.58242798,.80234504,.44419643,.75776398,.74327123,.69723433,.314376,.58889782,.57763475,.84897715,.71207178,.79464591,.75804812,.81115264,.65688485,.72939348,.69580096,.51220727,.48655635,.49486125,.48715314,.45995525,.43424088,.42554131,.41891295,PLFS_1718,July 2017 - June 2018,JAMMU & KASHMIR,.51435775,.47988117,.75356025,.71830499,.25682244,.22317757,.4762412,.4276582,.54223818,.51807982
549,402,211,134,77,116,95,230,138,92,125,105,205,133,72,114,91,226,140,86,122,104,188,214,222,180,.63033175,.5,.60487807,.58048779,.5782609,.43915343,.54867256,.52654868,.57462686,.5271318,.56390977,.52631581,.557971,.50370371,.53571427,.5,.72727275,.4054054,.68055558,.68055558,.60869563,.27777779,.56976742,.56976742,.67241377,.51724136,.65789473,.62280703,.62400001,.46391752,.61475408,.58196723,.57894737,.48101267,.53846157,.52747256,.52380955,.41304347,.47115386,.46153846,PLFS_1718,July 2017 - June 2018,LADAKH,.57213932,.52487564,.73404253,.71276593,.42990655,.35981309,.58333331,.52777779,.56306309,.52252251
7648,5421,3365,1978,1386,2894,471,3531,2087,1443,3029,502,3046,1876,1169,2596,450,3317,2072,1244,2822,495,2631,2789,4480,941,.81188709,.77355576,.76526594,.75574523,.77371848,.72833043,.70274347,.6940006,.73913044,.69444442,.68869936,.67963755,.70052707,.65154439,.62355214,.6153475,.9163059,.89318883,.88879383,.87852865,.88011086,.84542125,.83520901,.82556272,.86420178,.82342345,.81972265,.80970722,.82568502,.7769466,.75407511,.74486178,.49044585,.47402596,.45111111,.44444445,.46015936,.44064388,.410101,.4040404,PLFS_1718,July 2017 - June 2018,HIMACHAL PRADESH,.65135586,.62073416,.79323453,.75180542,.51738977,.49695233,.53347504,.50053138,.67611605,.64598215
13374,9977,4400,3690,708,2040,2360,4798,3989,807,2224,2574,4295,3613,680,1975,2320,4769,3968,799,2203,2566,5166,4809,4845,5132,.59931821,.5930447,.5913853,.58183932,.549604,.54313433,.53260642,.52400923,.61897022,.61665761,.61251038,.60309994,.57257456,.57024586,.55771172,.54914314,.49717513,.46024466,.47941175,.46911764,.43618339,.39973441,.40801001,.39924905,.74705881,.74103588,.73873419,.72810125,.68525177,.67883211,.66227871,.65274626,.47161016,.46572408,.46594828,.45732757,.43240094,.42644173,.42127827,.41348401,PLFS_1718,July 2017 - June 2018,PUNJAB,.48090607,.44101432,.77216417,.71428573,.16781035,.14722395,.50155884,.4598597,.45902991,.42105263
1389,1010,484,377,107,76,408,539,409,130,82,457,477,375,102,72,405,536,410,126,78,458,520,490,149,861,.33677685,.32150313,.31865829,.29979035,.30241188,.2883895,.28358209,.26679105,.35809019,.34574467,.34666666,.32266667,.33007336,.31862745,.31707317,.29512194,.26168224,.23300971,.21568628,.21568628,.21538462,.19047619,.17460318,.17460318,.28947368,.26027396,.2361111,.2361111,.2682927,.24050634,.21794872,.21794872,.34558824,.33251232,.33333334,.31111112,.30853391,.29670331,.29475984,.27510917,PLFS_1718,July 2017 - June 2018,CHANDIGARH,.53366339,.47920793,.78653848,.72500002,.26530612,.21836735,.53077817,.4738676,.55033559,.51006711
7003,5184,2099,1723,376,1206,893,2304,1864,440,1305,999,2064,1700,364,1180,884,2298,1865,433,1301,997,2654,2528,2850,2334,.66650784,.66061187,.66085273,.64825583,.60720485,.60165435,.59355962,.58224541,.66337782,.66026759,.65882355,.64999998,.61319745,.61021507,.60053617,.5924933,.68085104,.66219836,.67032969,.6401099,.58181816,.56521738,.56351042,.53810626,.78938639,.77990031,.779661,.76355934,.7295019,.72064465,.70714837,.69254422,.50055993,.49887386,.50226247,.49434388,.44744745,.44567403,.44533601,.43831494,PLFS_1718,July 2017 - June 2018,UTTARANCHAL,.44444445,.40489969,.70233607,.64920872,.17405063,.14873418,.42802057,.38260496,.45789474,.4231579
12004,8550,3641,3105,536,1946,1695,3946,3369,577,2118,1828,3495,2993,502,1838,1657,3902,3344,558,2080,1822,4521,4028,4572,3978,.61219448,.6074869,.59713876,.58712447,.56487584,.56029451,.53485394,.52588415,.60418677,.59929079,.5893752,.57834947,.55684179,.55212355,.52751195,.51764351,.65858209,.65536726,.6434263,.63944221,.61178511,.60839158,.57885307,.57526881,.74563205,.73957795,.72687703,.71381938,.68508029,.67911154,.6423077,.63076925,.45899704,.4556213,.45322871,.44659021,.42560175,.42238069,.41218442,.40614709,PLFS_1718,July 2017 - June 2018,HARYANA,.46152046,.42584795,.74518913,.68679494,.14324728,.13306852,.4595274,.42609352,.4632546,.42563429
3956,3074,1283,1123,158,82,1201,1428,1250,176,90,1338,1265,1107,156,81,1184,1428,1251,175,90,1338,1673,1398,195,2879,.3390491,.33568075,.33754942,.33359683,.30462185,.30147576,.2990196,.29551822,.35440785,.35325602,.35230353,.35049683,.3184,.31730768,.31175059,.31015188,.23417722,.21290323,.23717949,.21794872,.21022727,.19075145,.21142857,.19428572,.40243903,.40243903,.4074074,.4074074,.36666667,.36666667,.36666667,.36666667,.33472106,.33110368,.33277026,.3285473,.30044842,.29707426,.29446936,.29073244,PLFS_1718,July 2017 - June 2018,DELHI,.46454132,.41737151,.74716079,.67124927,.12589413,.11301859,.46474472,.41715872,.46153846,.42051283
20771,14730,6767,5153,1611,4339,2428,7189,5525,1661,4541,2648,6182,4911,1269,3829,2353,6813,5478,1333,4198,2615,7643,7084,8800,5930,.73607212,.70822906,.70414108,.69297963,.69286412,.66164863,.63892561,.62879789,.69959247,.68235528,.67684788,.66544491,.65248871,.63253009,.60679078,.59656811,.85288638,.80883473,.81008667,.79984242,.82721251,.7791636,.77119279,.76144034,.86010599,.82971287,.82919824,.81666231,.82184541,.78483701,.75631255,.74487853,.51441514,.50439882,.50063747,.49171272,.47167674,.46165645,.45047802,.44244742,PLFS_1718,July 2017 - June 2018,RAJASTHAN,.48805159,.45940259,.7228837,.67421168,.23447205,.22741389,.44654301,.4094435,.51602274,.49306819
44933,31233,12726,10836,1887,8299,4427,13650,11684,1963,8766,4884,11949,10359,1588,7641,4308,13272,11578,1692,8413,4859,15815,15412,20068,11165,.80323744,.78815168,.7834965,.76893467,.74886447,.73101389,.7053948,.69228452,.80444813,.79637754,.78781736,.77208227,.74606299,.73655123,.7048713,.69079286,.79597247,.72446042,.75566751,.74874055,.76515538,.68690312,.70921987,.70271868,.90818173,.89500904,.89124459,.87580162,.85979921,.84209245,.80946153,.79543561,.60650551,.59899288,.59238625,.57938719,.54975432,.54193413,.52521098,.51368594,PLFS_1718,July 2017 - June 2018,UTTAR PRADESH,.43703774,.40745366,.7387923,.68517232,.12736829,.12243706,.43743843,.39650694,.43681481,.41354394
