state_perv1,total_workers_w,total_workers_unw,total_div0_w,total_div1_w,total_div23_w,total_div4_w,total_div5_w,total_div6_w,total_div7_w,total_div8_w,total_div9_w,total_div0_unw,total_div1_unw,total_div23_unw,total_div4_unw,total_div5_unw,total_div6_unw,total_div7_unw,total_div8_unw,total_div9_unw,share_div0_weighted,share_div0_unweighted,share_div1_weighted,share_div1_unweighted,share_div23_weighted,share_div23_unweighted,share_div4_weighted,share_div4_unweighted,share_div5_weighted,share_div5_unweighted,share_div6_weighted,share_div6_unweighted,share_div7_weighted,share_div7_unweighted,share_div8_weighted,share_div8_unweighted,share_div9_weighted,share_div9_unweighted,state_name
01,21149680.29139709,6120,13343840.65784454,47404.52978515625,2021966.304759979,369452.7542648315,3462526.743461609,2416806.3436203,1080663.012718201,419928.4113464355,2921129.339763641,3346,21,708,108,945,844,405,137,813,.63092399,.54673201,.0022413828,.0034313726,.095602691,.11568628,.017468479,.01764706,.16371532,.15441176,.11427153,.1379085,.051095951,.066176474,.019855071,.022385621,.13811696,.13284314,JAMMU & KASHMIR
02,14079013.57328033,3726,10277317.31424713,3865.2099609375,1379976.162734985,292632.4783172607,2468355.639640808,1179971.821243286,648037.0783538818,219226.3929138184,1537199.618614197,2660,3,378,72,705,308,169,45,385,.72997427,.71390229,.00027453699,.00080515299,.098016538,.10144927,.020785013,.019323671,.17532164,.18921095,.083810687,.082662374,.046028584,.045356952,.015571147,.012077294,.10918376,.10332797,HIMACHAL PRADESH
03,41574146.75259399,5015,11773710.63265991,43260.30908203125,7626236.608093262,510295.4912109375,5811477.510131836,6392519.235015869,2295426.828338623,1645672.455322266,7099090.095581055,1169,3,1030,48,720,904,307,210,823,.28319788,.2331007,.001040558,.00059820537,.18343699,.20538385,.012274346,.0095712859,.13978586,.14356929,.15376189,.18025923,.055212844,.061216351,.039584033,.041874375,.17075732,.16410768,PUNJAB
04,1688436.714538574,506,0,0,257881.1550292969,11273.94506835938,110442.6800537109,364697.5419464111,250983.4402160645,196514.4599609375,510146.0274810791,0,0,81,3,28,111,66,56,168,0,0,0,0,.15273368,.16007905,.0066771498,.0059288535,.065411203,.055335969,.21599716,.21936759,.14864841,.13043478,.11638841,.11067194,.30214104,.33201581,CHANDIGARH
05,15255451.98704147,2805,7084553.379447937,32176.69958496094,2060285.290103912,84552.9395904541,2160811.941402435,2353102.483566284,794190.5666770935,358079.8641204834,1814034.139076233,1196,5,378,23,379,476,161,94,350,.46439487,.42638147,.0021091935,.0017825312,.1350524,.13475935,.0055424734,.0081996433,.14164194,.13511586,.15424666,.16969697,.052059457,.057397503,.023472255,.033511586,.11891054,.12477718,UTTARAKHAND
06,38439788.63656616,3860,11742373.89665222,13458.20971679688,7144159.538146973,342888.0150756836,4437825.57598877,6201157.832061768,3211013.94493103,1728207.794616699,5825929.260009766,1073,2,740,37,530,643,325,161,569,.30547446,.27797928,.00035011143,.00051813474,.18585324,.19170985,.0089201331,.0095854923,.11544875,.13730571,.16132133,.1665803,.0835336,.084196888,.044958826,.041709844,.15155987,.14740932,HARYANA
07,18321407.06598663,1227,64698.16007995605,0,2998128.306907654,497150.2386169434,1808983.248382568,4405228.832641602,2045574.929176331,2370175.024169922,4205687.347679138,17,0,208,28,91,294,141,174,282,.0035312877,.013854931,0,0,.16364072,.16951916,.027134938,.022819886,.09873604,.074164629,.24044162,.23960881,.11164945,.11491442,.12936643,.14180928,.22955045,.22982885,DELHI
08,125449023.1455231,8569,75065078.73181152,679352.5888671875,14935279.94752502,729052.9478759766,26957141.63140869,14070828.887146,5895155.814331055,3464289.916931152,9652754.345336914,4604,46,1122,67,1656,1120,442,253,841,.59837115,.53728557,.0054153679,.0053681876,.11905457,.1309371,.0058115474,.0078188824,.21488522,.19325475,.11216372,.1307037,.04699244,.051581282,.027615121,.029525032,.076945633,.098144472,RAJASTHAN
09,286117905.8531113,15977,184742079.5085907,462291.8513183594,25896039.75588989,1303085.687133789,41042190.34716797,33742610.23252106,10847149.26123047,5647295.192474365,17873951.18557739,9012,17,1761,85,2236,2358,719,356,1240,.64568514,.56406087,.001615739,.0010640295,.090508282,.11022094,.0045543662,.0053201476,.14344503,.13995118,.11793254,.14758715,.037911467,.045002192,.01973765,.02228203,.062470578,.077611566,UTTAR PRADESH
10,150481216.368927,7214,91991161.44950867,0,8221543.232177734,330449.0298461914,28934190.00727844,17904969.0431366,6403117.001480103,1667963.599914551,8790391.123382568,3771,0,478,29,1197,1199,363,150,632,.61131322,.52273357,0,0,.054635014,.066260047,.0021959487,.0040199612,.19227776,.16592737,.11898474,.1662046,.04255094,.050318826,.011084198,.020792903,.058415204,.087607428,BIHAR
11,1425485.949792862,1473,773647.1292572021,0,49913.82998275757,20227.2852935791,332028.3744602203,176433.8455467224,130087.3848876953,17670.19519042969,332291.9746170044,600,0,73,17,253,283,133,31,398,.54272521,.40733197,0,0,.035015307,.049558725,.014189747,.011541072,.23292294,.17175831,.12377102,.19212492,.091258273,.090291925,.01239591,.021045486,.23310785,.27019688,SIKKIM
12,2680811.445337296,3785,1898202.175296783,3711.794982910156,108522.3143768311,50464.82490921021,213891.6100234985,289452.4561958313,72543.91988372803,25968.8752746582,344101.8596172333,2379,4,170,89,292,488,111,30,624,.70806998,.62853366,.0013845789,.0010568032,.040481143,.044914134,.018824458,.02351387,.079786144,.077146634,.10797196,.12892999,.027060434,.029326288,.0096869459,.0079260236,.12835735,.16486129,ARUNACHAL PRADESH
13,3410117.424079895,1941,1854381.654315948,2042.454986572266,277062.9048538208,26052.3249206543,303239.6110076904,387133.0394592285,247705.0243682861,225318.4040374756,693666.5398254395,985,2,178,14,186,279,154,134,365,.54378819,.50747037,.00059893978,.0010303967,.081247322,.091705307,.007639715,.0072127767,.088923506,.095826894,.11352484,.14374034,.072638266,.079340547,.0660735,.069036581,.20341426,.18804739,NAGALAND
14,4577190.397800446,4123,2037869.04558754,5643.454925537109,734302.2146644592,17538.07488632202,377858.5863838196,487991.7058029175,172402.3896884918,186915.0793228149,781507.0317726135,1576,4,739,19,440,565,188,169,615,.44522271,.38224593,.0012329518,.00097016734,.16042641,.17923842,.0038316245,.0046082949,.082552515,.10671841,.10661381,.13703614,.03766555,.045597866,.040836204,.04098957,.17073946,.14916323,MANIPUR
15,1620525.960140228,2752,666947.4854278564,5493.005035400391,64436.42486763,3012.440086364746,110937.8350200653,322706.3693504333,108530.6801376343,84140.544921875,294569.8453674316,942,14,154,9,216,615,210,165,483,.41156235,.34229651,.0033896433,.0050872094,.039762661,.055959303,.0018589274,.0032703488,.068457916,.078488372,.19913681,.22347383,.066972502,.076308139,.051921751,.059956394,.18177423,.17550872,MIZORAM
16,7097375.005722046,3245,3593042.948631287,0,457829.7280883789,11608.61016845703,2283974.356319427,1043390.732475281,343771.3354797363,148220.8543701172,859849.0817718506,1332,0,207,9,806,602,215,114,611,.50624955,.41047767,0,0,.064506911,.063790448,.0016356203,.0027734977,.32180551,.24838212,.14701079,.18551618,.048436407,.066255778,.020883897,.03513097,.12115029,.18828967,TRIPURA
17,6554060.931594849,2801,4050307.234680176,163878.8934631348,147099.9234313965,12422.75476074219,1520382.679805756,668585.7871322632,307722.1541061401,130624.7033081055,808399.9430465698,1437,66,75,8,541,356,168,79,528,.61798435,.51303107,.025004176,.023563012,.022444088,.026776152,.0018954286,.0028561228,.23197567,.1931453,.10201092,.12709747,.046951372,.059978578,.019930346,.028204212,.12334336,.1885041,MEGHALAYA
18,61340230.41997528,6968,37731574.24240112,138663.6098632813,6151537.167953491,148977.324798584,8362420.587989807,9398725.336032867,3864896.97290802,1038595.74017334,5107608.152515411,3865,23,691,23,805,1333,454,174,769,.61511952,.55467856,.0022605655,.0033008037,.10028552,.099167623,.0024287051,.0033008037,.13632849,.11552813,.15322286,.1913031,.063007541,.065154992,.016931722,.024971297,.083266854,.11036165,ASSAM
19,174314038.1512756,11119,78009221.49111938,424132.4454345703,30950875.15466309,787878.6359863281,22779764.87561035,25495531.94445801,11216704.57510376,5216952.853942871,20196242.30392456,4027,46,2099,57,1330,1982,811,439,1560,.44752118,.36217287,.0024331515,.0041370625,.17755814,.18877597,.0045198807,.0051263603,.13068233,.11961507,.14626206,.17825344,.064347684,.072938211,.029928472,.039481968,.11586125,.14030039,WEST BENGAL
20,56806646.4133606,5141,39733794.63659668,511132.2247314453,5754495.292297363,137446.2487792969,13116562.97140503,6094656.922790527,2099692.776397705,960897.5150756836,3661883.326416016,3076,72,554,22,1092,704,268,106,444,.69945681,.59832716,.0089977542,.014005058,.10129968,.10776114,.0024195453,.0042793229,.23089838,.21241003,.10728774,.13693833,.036962096,.052129935,.01691523,.020618556,.064462237,.086364523,JHARKHAND
21,72960927.66921997,7229,51106286.50930786,300337.4506225586,6429593.843841553,421739.7862548828,18161862.1696167,8721552.050170898,3411123.57333374,2026864.890319824,5742685.404052734,4584,49,624,47,1564,1053,391,257,717,.70046103,.6341126,.004116415,.0067782542,.088123798,.086318992,.0057803513,.0065015908,.24892586,.21635081,.11953729,.14566331,.046752743,.054087702,.027780142,.035551254,.078709051,.099183843,ODISHA
