state_name,data,time,total_workers_w,total_workers_unw,total_div0_w,total_div1_w,total_div23_w,total_div4_w,total_div5_w,total_div6_w,total_div7_w,total_div8_w,total_div9_w,total_div0_unw,total_div1_unw,total_div23_unw,total_div4_unw,total_div5_unw,total_div6_unw,total_div7_unw,total_div8_unw,total_div9_unw,share_div0_weighted,share_div0_unweighted,share_div1_weighted,share_div1_unweighted,share_div23_weighted,share_div23_unweighted,share_div4_weighted,share_div4_unweighted,share_div5_weighted,share_div5_unweighted,share_div6_weighted,share_div6_unweighted,share_div7_weighted,share_div7_unweighted,share_div8_weighted,share_div8_unweighted,share_div9_weighted,share_div9_unweighted
ANDAMAN & N. ISLAND,PLFS_1718,July 2017 - June 2018,547883.0989646912,696,86052.57932281494,1374.004943847656,32319.5697555542,9825.014999389648,93150.85473632813,72588.25001525879,53871.83003234863,22169.50989151001,186032.8351821899,108,2,50,15,103,94,64,40,235,.15706375,.15517241,.0025078433,.0028735632,.058989901,.071839079,.017932685,.021551725,.17001958,.14798851,.13248858,.13505746,.098327234,.091954023,.040463943,.057471264,.33954841,.33764368
ANDAMAN & N. ISLAND,PLFS_1819,July 2018 - June 2019,551681.0710067749,663,69978.14518737793,0,40075.69955444336,8121.679946899414,107891.6660003662,88090.58511352539,42832.72476959229,33517.20506286621,176054.8352966309,78,0,43,11,110,119,63,48,204,.12684529,.11764706,0,0,.072642878,.064856716,.014721694,.016591253,.1955689,.16591252,.15967666,.17948718,.077640377,.095022626,.060754675,.072398193,.31912431,.30769232
ANDAMAN & N. ISLAND,PLFS_1920,July 2019 - June 2020,614139.8213653564,698,104199.4948196411,0,39798.71506500244,24532.58522796631,118670.4007415771,81165.92512512207,72331.65491485596,19071.99501037598,166679.8755187988,110,0,53,22,117,116,75,32,190,.16966738,.15759312,0,0,.064803995,.075931229,.039946254,.031518623,.19323027,.16762178,.13216196,.1661891,.11777718,.10744986,.03105481,.045845274,.27140379,.27220631
ANDAMAN & N. ISLAND,PLFS_2021,July 2020 - June 2021,567954.4541015625,659,157687.0442352295,944.72998046875,37915.88482284546,14302.35516357422,95417.52528762817,69453.39005279541,53376.49507141113,33582.00483703613,154037.6397705078,176,1,61,17,108,90,58,31,175,.27764031,.26707131,.0016633904,.0015174507,.06675867,.092564493,.025182223,.025796661,.16800207,.16388467,.1222869,.13657056,.093980238,.088012137,.05912799,.047040973,.27121478,.26555386
ANDAMAN & N. ISLAND,PLFS_2122,July 2021 - June 2022,699887.0747070313,691,290152.6440200806,0,28279.00514221191,8981.059921264648,122119.6750030518,97285.98022842407,51239.66999816895,42659.91040039063,143230.7448005676,263,0,34,15,105,101,50,38,157,.41457066,.38060781,0,0,.040405098,.049204051,.012832155,.021707671,.17448483,.1519537,.1390024,.14616498,.073211342,.072358899,.060952563,.054992765,.20464836,.22720695
ANDAMAN & N. ISLAND,PLFS_2223,July 2022 - June 2023,723127.3006973267,778,209863.8600006104,842.2999877929688,80442.69495391846,12928.35494995117,90669.86019134521,125953.0803146362,68582.63499450684,52969.44033813477,153655.0197982788,206,1,102,16,93,160,72,44,171,.29021704,.2647815,.0011648018,.001285347,.11124279,.13110539,.017878395,.020565553,.12538575,.11953727,.1741783,.20565553,.094841719,.092544988,.073250502,.056555271,.21248682,.21979435
ANDAMAN & N. ISLAND,PLFS_2324,July 2023 - June 2024,694197.5941314697,795,242145.4033813477,0,34911.71995544434,14839.80999755859,112918.8247680664,108195.4751281738,61028.79946136475,31831.47012329102,164684.2757034302,247,0,62,19,117,137,69,39,192,.34881338,.31069183,0,0,.050290752,.077987425,.021376925,.023899371,.16266093,.14716981,.15585689,.17232704,.087912723,.086792454,.045853615,.049056605,.23722969,.24150944
ANDHRA PRADESH,PLFS_1718,July 2017 - June 2018,82729603.86290741,6237,42640483.71406555,391286.4402160645,8275171.889587402,447652.1964111328,14982064.57272339,9556355.216178894,5648968.999847412,1905540.963928223,8571046.470504761,2756,40,703,41,1058,848,450,208,824,.5154199,.44187909,.0047297026,.0064133396,.10002673,.11271445,.0054110279,.0065736733,.18109678,.16963284,.11551312,.1359628,.068282314,.072150074,.023033362,.033349365,.10360314,.1321148
ANDHRA PRADESH,PLFS_1819,July 2018 - June 2019,75677800.92673492,5928,34706653.71906281,229326.9729309082,8559847.73677063,546145.3781738281,15464046.97271729,9491047.251617432,5680486.614547729,1786663.808792114,9207048.247108459,2331,26,781,51,1087,839,493,182,848,.45861077,.39321864,.0030303071,.0043859649,.1131091,.13174763,.0072167185,.0086032385,.20434059,.18336707,.12541389,.14153172,.075061463,.08316464,.023608822,.030701755,.12166115,.14304993
ANDHRA PRADESH,PLFS_1920,July 2019 - June 2020,79102761.77271271,5921,40453715.46793365,721016.0311279297,7540861.192718506,463729.9620361328,14920697.38043213,9619876.036308289,5051973.033668518,2027357.452560425,9074630.231918335,2603,48,609,33,1074,855,424,196,798,.51140714,.43962169,.0091149285,.0081067383,.095329933,.10285424,.0058623739,.0055733831,.18862423,.18138827,.12161239,.14440128,.063865952,.071609527,.025629414,.033102516,.11471951,.13477454
ANDHRA PRADESH,PLFS_2021,July 2020 - June 2021,88406331.79289246,6272,44598783.9078064,338935.9478759766,7979064.369262695,400775.5911865234,19601540.7827301,11242784.1184082,5389270.982208252,2332804.177825928,11070707.53900146,2706,24,661,39,1263,936,434,199,885,.504475,.43144134,.0038338425,.0038265307,.090254441,.10538903,.004533336,.0062181121,.22172101,.20137118,.12717171,.1492347,.060960237,.069196425,.026387297,.031728316,.12522528,.14110331
ANDHRA PRADESH,PLFS_2122,July 2021 - June 2022,84554387.03848267,6075,39691276.20263672,472809.4984130859,9982108.774475098,555437.7490234375,21070487.02275085,9942153.26184082,7169963.187210083,2389506.649108887,9128883.68057251,2516,30,772,37,1356,848,538,217,795,.46941712,.41415638,.0055917795,.0049382718,.11805548,.12707819,.006569,.0060905349,.24919449,.22320987,.11758294,.13958848,.084797055,.088559672,.028259996,.035720166,.10796463,.1308642
ANDHRA PRADESH,PLFS_2223,July 2022 - June 2023,86132538.52639771,6202,41743685.29144287,184658.2762451172,9529818.620635986,324794.6586303711,23248225.34017944,10894440.79013062,7138470.998809814,2136414.602935791,9700184.660583496,2548,16,754,28,1473,925,529,207,878,.48464477,.41083521,.0021438852,.0025798129,.11064133,.12157369,.0037708706,.0045146728,.26991221,.23750404,.12648462,.14914544,.082877748,.085295066,.024803804,.033376329,.11261928,.14156723
ANDHRA PRADESH,PLFS_2324,July 2023 - June 2024,82684464.01255798,6075,40464530.35870361,425130.4990844727,8804105.149017334,370218.5884399414,22531424.46514893,11008354.72833252,5937898.109771729,1725589.248291016,9007156.305435181,2495,34,730,31,1490,930,506,176,792,.48938492,.41069958,.0051416005,.005596708,.10647835,.12016461,.0044774865,.0051028808,.27249888,.2452675,.13313691,.15308642,.071813948,.083292179,.02086957,.028971193,.10893408,.13037036
ARUNACHAL PRADESH,PLFS_1718,July 2017 - June 2018,1369303.326070786,2168,688884.6111431122,0,21092.95988464355,12272.50486755371,54448.95534896851,229311.3100662231,88627.22983551025,12356.28493881226,272739.0400543213,903,0,39,29,119,387,163,30,512,.50309134,.41651291,0,0,.015404155,.01798893,.0089625902,.013376384,.039763983,.054889299,.16746567,.17850554,.064724319,.075184502,.0090237744,.013837638,.19918089,.23616236
ARUNACHAL PRADESH,PLFS_1819,July 2018 - June 2019,1505025.805288315,2277,724720.7772197723,2305.419921875,31040.37001037598,26581.04020690918,50889.30031204224,298527.9456100464,101823.380821228,13933.55514526367,280085.216053009,888,2,54,54,106,466,170,26,539,.4815338,.38998681,.0015318142,.00087834871,.020624477,.023715414,.017661517,.023715414,.03381291,.046552483,.19835404,.20465524,.067655571,.074659638,.0092580179,.011418534,.18609995,.23671497
ARUNACHAL PRADESH,PLFS_1920,July 2019 - June 2020,1603239.964847565,2445,892388.0750961304,456.0150146484375,26979.85508728027,25436.45008087158,81173.7096786499,219553.1605110168,55637.47501373291,10431.79981231689,310774.8745498657,1092,1,57,54,148,390,120,22,592,.55661541,.44662577,.00028443342,.00040899796,.016828332,.023312883,.015865654,.02208589,.050631043,.060531698,.13694341,.1595092,.03470315,.049079753,.0065066991,.0089979554,.19384177,.24212679
ARUNACHAL PRADESH,PLFS_2021,July 2020 - June 2021,1651627.723976135,2490,949224.7237892151,0,31486.62487792969,36410.91485595703,104554.6599235535,203692.6695899963,56045.1097946167,10587.79998779297,342739.3756980896,1213,0,52,71,196,346,100,29,591,.57472074,.48714858,0,0,.019063996,.020883534,.022045473,.028514056,.063304015,.078714862,.12332844,.13895582,.03393326,.040160641,.0064105247,.011646586,.20751612,.23734939
ARUNACHAL PRADESH,PLFS_2122,July 2021 - June 2022,1586506.072370529,2643,979854.5530204773,1767.325042724609,26532.30513763428,28324.38498687744,100854.269985199,189467.9202709198,40052.05996322632,14134.32996940613,282963.0189914703,1381,4,69,57,182,369,93,33,581,.61761791,.52251232,.0011139731,.0015134317,.016723733,.026106697,.01785331,.021566402,.063570052,.068861142,.11942464,.13961408,.02524545,.035187285,.0089090932,.012485811,.1783561,.21982595
ARUNACHAL PRADESH,PLFS_2223,July 2022 - June 2023,2425986.889131546,3574,1735837.694114685,2416.129974365234,60050.52505111694,36965.11003112793,150956.765296936,300695.0100669861,58364.2753238678,8195.72501373291,378042.2993011475,2233,4,99,75,238,597,103,27,608,.71551818,.62479013,.00099593692,.0011191942,.02475303,.027700055,.015237143,.020984892,.062224887,.066592053,.1239475,.16703974,.024057951,.02881925,.0033783056,.0075545609,.15583031,.17011751
